序号,车名,详情链接,用户评分,级别,官方指导价
86,飞驰插电混动,https://car.autohome.com.cn/price/series-6287.html#pvareaid=2042204,N/A,大型车,248.00-333.70万
87,添越插电混动,https://car.autohome.com.cn/price/series-4714.html#pvareaid=2042204,N/A,中大型SUV,238.50-297.50万
88,GranTurismo,https://car.autohome.com.cn/price/series-551.html#pvareaid=2042204,N/A,跑车,188.80-229.80万
89,宝马7系新能源,https://car.autohome.com.cn/price/series-4345.html#pvareaid=2042204,N/A,大型车,181.90万
90,奥迪RS e-tron GT,https://car.autohome.com.cn/price/series-5943.html#pvareaid=2042204,N/A,中大型车,124.78万
91,Artura,https://car.autohome.com.cn/price/series-5986.html#pvareaid=2042204,N/A,跑车,238.00万
92,EVIJA,https://car.autohome.com.cn/price/series-5331.html#pvareaid=2042204,N/A,跑车,2188.00万
93,奔驰EQS AMG,https://car.autohome.com.cn/price/series-6231.html#pvareaid=2042204,N/A,大型车,154.70-156.60万
94,GranTurismo EV,https://car.autohome.com.cn/price/series-6677.html#pvareaid=2042204,N/A,跑车,198.80万
95,巴菲特600,https://car.autohome.com.cn/price/series-7486.html#pvareaid=2042204,N/A,大型SUV,暂无报价
96,迈莎锐G级,https://car.autohome.com.cn/price/series-5428.html#pvareaid=2042204,N/A,中大型SUV,405.00-538.00万
97,金冠V级,https://car.autohome.com.cn/price/series-5722.html#pvareaid=2042204,N/A,中大型MPV,88.80-128.00万
98,傲旋,https://car.autohome.com.cn/price/series-5329.html#pvareaid=2042204,N/A,中大型MPV,88.80-158.00万
99,迈莎锐揽胜,https://car.autohome.com.cn/price/series-5839.html#pvareaid=2042204,N/A,中大型SUV,258.80万
100,巴菲特S,https://car.autohome.com.cn/price/series-7485.html#pvareaid=2042204,N/A,中大型MPV,暂无报价
101,克蒂翔翼,https://car.autohome.com.cn/price/series-6859.html#pvareaid=2042204,N/A,中大型MPV,149.80-198.80万
102,勇猛者,https://car.autohome.com.cn/price/series-5099.html#pvareaid=2042204,N/A,大型SUV,85.80-146.80万
103,锐行者,https://car.autohome.com.cn/price/series-7265.html#pvareaid=2042204,N/A,皮卡,暂无报价
104,博速 V级,https://car.autohome.com.cn/price/series-5649.html#pvareaid=2042204,N/A,中大型MPV,212.20-221.80万
105,克蒂怪兽,https://car.autohome.com.cn/price/series-6864.html#pvareaid=2042204,N/A,大型SUV,298.00万
106,征服者系列,https://car.autohome.com.cn/price/series-7253.html#pvareaid=2042204,N/A,轻客,暂无报价
107,迈莎锐Urus,https://car.autohome.com.cn/price/series-6119.html#pvareaid=2042204,N/A,中大型SUV,598.00万
108,先锋官,https://car.autohome.com.cn/price/series-7277.html#pvareaid=2042204,N/A,皮卡,188.00万
109,Lorinser LS系列,https://car.autohome.com.cn/price/series-5831.html#pvareaid=2042204,N/A,中大型MPV,98.80-158.80万
110,宇通T7,https://car.autohome.com.cn/price/series-4484.html#pvareaid=2042204,N/A,轻客,76.80-128.80万
111,上汽大通MAXUS V80新能源,https://car.autohome.com.cn/price/series-5494.html#pvareaid=2042204,N/A,轻客,16.48-130.00万
112,LUMMA CLR G770,https://car.autohome.com.cn/price/series-5979.html#pvareaid=2042204,N/A,中大型SUV,398.00-468.00万
113,迈莎锐MV600,https://car.autohome.com.cn/price/series-6136.html#pvareaid=2042204,N/A,中大型MPV,143.80-158.80万
114,迈莎锐Cayenne,https://car.autohome.com.cn/price/series-5837.html#pvareaid=2042204,N/A,中大型SUV,168.80万
115,克蒂巴赫,https://car.autohome.com.cn/price/series-6713.html#pvareaid=2042204,N/A,中大型MPV,69.80-128.80万
116,克慕勒GLS,https://car.autohome.com.cn/price/series-7180.html#pvareaid=2042204,N/A,大型SUV,155.80-288.00万
117,LUMMA CLR LD,https://car.autohome.com.cn/price/series-6166.html#pvareaid=2042204,N/A,中大型SUV,183.00-268.00万
118,迈莎锐GLS,https://car.autohome.com.cn/price/series-7218.html#pvareaid=2042204,N/A,大型SUV,暂无报价
119,挑战者系列,https://car.autohome.com.cn/price/series-7254.html#pvareaid=2042204,N/A,轻客,暂无报价
120,维努斯,https://car.autohome.com.cn/price/series-6364.html#pvareaid=2042204,N/A,中大型MPV,98.80-198.80万
121,车驰V系列,https://car.autohome.com.cn/price/series-5177.html#pvareaid=2042204,N/A,中大型MPV,92.80-118.00万
122,迈莎锐添越,https://car.autohome.com.cn/price/series-5690.html#pvareaid=2042204,N/A,中大型SUV,488.00万
123,Lorinser MAYBACH S级,https://car.autohome.com.cn/price/series-4916.html#pvareaid=2042204,N/A,大型车,218.80-238.80万
124,克蒂圣姆峰,https://car.autohome.com.cn/price/series-6469.html#pvareaid=2042204,N/A,中大型MPV,84.80-158.80万
125,铂驰VC系列,https://car.autohome.com.cn/price/series-5469.html#pvareaid=2042204,N/A,中大型MPV,118.80-128.80万
126,LUMMA CLR RS,https://car.autohome.com.cn/price/series-5980.html#pvareaid=2042204,N/A,中大型SUV,168.00万
127,WALD V-Class,https://car.autohome.com.cn/price/series-5999.html#pvareaid=2042204,N/A,中大型MPV,98.80-108.80万
128,卡漠兹V级,https://car.autohome.com.cn/price/series-6518.html#pvareaid=2042204,N/A,中大型MPV,98.80-117.80万
129,盛唐V-Class,https://car.autohome.com.cn/price/series-7081.html#pvareaid=2042204,N/A,中大型MPV,78.80-158.80万
130,莱茵旅行者,https://car.autohome.com.cn/price/series-6452.html#pvareaid=2042204,N/A,中大型MPV,118.00-145.00万
131,LUMMA CLR X7,https://car.autohome.com.cn/price/series-6840.html#pvareaid=2042204,N/A,大型SUV,218.00万
132,Lorinser VS系列,https://car.autohome.com.cn/price/series-4464.html#pvareaid=2042204,N/A,中大型MPV,118.80-198.80万
133,宇通T7新能源,https://car.autohome.com.cn/price/series-5790.html#pvareaid=2042204,N/A,轻客,88.00-116.00万
134,上喆V-Class,https://car.autohome.com.cn/price/series-5563.html#pvareaid=2042204,N/A,中大型MPV,119.80-132.60万
135,车驰Sprinter,https://car.autohome.com.cn/price/series-5328.html#pvareaid=2042204,N/A,大型MPV,168.00万
136,龙程V-Class,https://car.autohome.com.cn/price/series-5997.html#pvareaid=2042204,N/A,中大型MPV,138.00万
137,克蒂雪堆白,https://car.autohome.com.cn/price/series-6587.html#pvareaid=2042204,N/A,中大型MPV,168.00万
138,雅升V-Class,https://car.autohome.com.cn/price/series-6235.html#pvareaid=2042204,N/A,中大型MPV,85.80-159.80万
139,卡升V-Class,https://car.autohome.com.cn/price/series-4448.html#pvareaid=2042204,N/A,中大型MPV,128.00-158.00万
140,晓奥V-Class,https://car.autohome.com.cn/price/series-5956.html#pvareaid=2042204,N/A,中大型MPV,85.80-139.80万
141,LUMMA CLR V,https://car.autohome.com.cn/price/series-5975.html#pvareaid=2042204,N/A,中大型MPV,128.00-138.00万
142,拓锐斯特V-Class,https://car.autohome.com.cn/price/series-6678.html#pvareaid=2042204,N/A,中大型MPV,118.80-128.80万
143,焜驰V-Class,https://car.autohome.com.cn/price/series-6733.html#pvareaid=2042204,N/A,中大型MPV,85.80-148.00万
144,卡升威霆,https://car.autohome.com.cn/price/series-3655.html#pvareaid=2042204,N/A,中大型MPV,108.00万
145,凌际星云系列,https://car.autohome.com.cn/price/series-6638.html#pvareaid=2042204,N/A,中大型MPV,98.80-138.00万
146,克蒂WALD,https://car.autohome.com.cn/price/series-6857.html#pvareaid=2042204,N/A,中大型MPV,95.80-105.80万
147,克慕勒BOSS-L1,https://car.autohome.com.cn/price/series-7181.html#pvareaid=2042204,N/A,中大型MPV,109.80万
148,OBBIN星海,https://car.autohome.com.cn/price/series-6698.html#pvareaid=2042204,N/A,中大型MPV,102.80-120.80万
